mode,area,policy,repeat,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_adaptive_semantic_count,mode_emergency_count,mode_fixed_count,mode_fixed_paper_like_count,mode_high_count,mode_low_count,mode_medium_count,mode_paper_like_count,mode_raw_count
nonsemantic,200,LinUCB,4,26.0,40545.33216561351,33.69639418085774,176.9214027115843,85.2288496932015,0.0,0.0,1.0,1.0,-19.598341350334536,,,0.0,,,,,,26.0
nonsemantic,200,LinUCB,5,58.0,21971.708229819902,17.15626791063899,96.42012694804808,116.52863757660032,0.0,0.0,1.0,1.0,-15.55689400573214,,,0.0,,,,,,58.0
nonsemantic,200,LinUCB,6,40.0,30741.81871803268,25.272965857405506,134.79610783699465,72.78278393106119,0.0,0.0,1.0,1.0,-15.02533429404507,,,0.0,,,,,,40.0
nonsemantic,200,LinUCB,7,51.0,30579.18803951234,24.962094327612252,133.79223295149134,92.99004906031048,0.0,0.0,1.0,1.0,-16.189685321548478,,,0.0,,,,,,51.0
nonsemantic,200,LinUCB,8,59.0,20307.00237771023,15.812107031002242,89.45198306655439,104.34736181477541,0.0,0.0,1.0,1.0,-14.702503012344204,,,0.0,,,,,,59.0
nonsemantic,200,LinUCB,9,37.0,27667.3184963951,22.37320836122028,121.65313859317966,95.9104254480229,0.0,0.0,1.0,1.0,-18.28595770976721,,,0.0,,,,,,37.0
nonsemantic,200,SA,0,43.0,23049.996195740827,17.89588582777824,101.27390616693779,133.20309578566707,0.0,0.0,1.0,1.0,-15.96401659483899,,,0.0,,,,,,43.0
nonsemantic,200,SA,1,52.0,22923.044206333314,17.857066950264418,100.63413573034595,121.42936907235435,0.0,0.0,1.0,1.0,-16.451300430211376,,,0.0,,,,,,52.0
nonsemantic,200,SA,2,56.0,17492.12382626457,12.952931165046783,77.10902755155101,143.70741465299974,0.0,0.0,1.0,1.0,-14.319632623421782,,,0.0,,,,,,56.0
nonsemantic,200,SA,3,39.0,30815.681231725383,24.552634974772236,134.0213744017262,144.6809254958124,0.0,0.0,1.0,1.0,-17.24482567240851,,,0.0,,,,,,39.0
nonsemantic,200,SA,4,62.0,21184.985518092275,16.108951895763692,92.95498450514228,145.97312938953303,0.0,0.0,1.0,1.0,-14.532760911796043,,,0.0,,,,,,62.0
nonsemantic,200,SA,5,56.0,23545.51473092536,18.356481170165456,102.86271864972528,122.33329903894071,0.0,0.0,1.0,1.0,-16.06683084329247,,,0.0,,,,,,56.0
nonsemantic,200,SA,6,41.0,22649.31436263256,17.559511281104623,99.08681446830792,120.56401207426241,0.0,0.0,1.0,1.0,-18.116912057898432,,,0.0,,,,,,41.0
nonsemantic,200,SA,7,54.0,17903.441691635242,13.460806940579406,78.75640420715246,122.42667989081802,0.0,0.0,1.0,1.0,-13.674514157066419,,,0.0,,,,,,54.0
nonsemantic,200,SA,8,46.0,22491.448348631868,17.44127417617451,98.37338510183308,122.54518261985514,0.0,0.0,1.0,1.0,-16.55627106515567,,,0.0,,,,,,46.0
nonsemantic,200,SA,9,44.0,24439.204501489723,19.113670168121107,106.71123329001529,131.13180593013374,0.0,0.0,1.0,1.0,-16.476168133273834,,,0.0,,,,,,44.0
nonsemantic,200,Greedy,0,41.0,23466.921603362694,19.14400037845737,102.22099106967529,53.954409555155806,0.0,0.0,1.0,1.0,-15.699572323342888,,,0.0,,,,,,41.0
nonsemantic,200,Greedy,1,53.0,21395.452160985395,17.491805938735816,93.74403285936641,41.538361932675535,0.0,0.0,1.0,1.0,-14.43653399368992,,,0.0,,,,,,53.0
nonsemantic,200,Greedy,2,53.0,22760.0279850254,18.745725791054102,99.50714839552535,36.94118671097053,0.0,0.0,1.0,1.0,-15.778694824046905,,,0.0,,,,,,53.0
nonsemantic,200,Greedy,3,44.0,18688.846402278516,15.09653698033631,81.82788232993246,46.01820397707602,0.0,0.0,1.0,1.0,-13.735591452584735,,,0.0,,,,,,44.0
nonsemantic,200,Greedy,4,41.0,34926.630422106544,29.054917420737038,152.63652813566372,56.00227108389946,0.0,0.0,1.0,1.0,-19.33009745536883,,,0.0,,,,,,41.0
nonsemantic,200,Greedy,5,53.0,22252.70547347582,18.21135587207042,97.32334050829839,48.39773322147849,0.0,0.0,1.0,1.0,-17.061073199232844,,,0.0,,,,,,53.0
nonsemantic,200,Greedy,6,55.0,22483.45106140337,18.395184306891043,98.556155586848,45.694588575808304,0.0,0.0,1.0,1.0,-15.657238911636526,,,0.0,,,,,,55.0
nonsemantic,200,Greedy,7,58.0,24581.352605206266,20.34676708608845,107.48985005699316,37.11040599401173,0.0,0.0,1.0,1.0,-17.462713072984705,,,0.0,,,,,,58.0
nonsemantic,200,Greedy,8,40.0,31995.210126477254,26.685900829041493,139.91742864593692,40.831500361456605,0.0,0.0,1.0,1.0,-15.927681654552421,,,0.0,,,,,,40.0
nonsemantic,200,Greedy,9,71.0,19330.776574514824,15.622208541168211,84.68247017544462,46.85782094067975,0.0,0.0,1.0,1.0,-15.078009964045764,,,0.0,,,,,,71.0
nonsemantic,200,MCTS,0,41.0,27081.03168255215,22.161547738651603,118.38722610292488,66.41259039462105,0.0,0.0,1.0,1.0,-18.54402117416219,,,0.0,,,,,,41.0
nonsemantic,200,MCTS,1,39.0,27034.63781450713,22.106840751539558,118.34583924159865,58.22557404635614,0.0,0.0,1.0,1.0,-15.348109630148949,,,0.0,,,,,,39.0
nonsemantic,200,MCTS,2,46.0,26131.38743230662,21.524950249763272,114.03059816462073,47.645962207882654,0.0,0.0,1.0,1.0,-15.071429136812927,,,0.0,,,,,,46.0
nonsemantic,200,MCTS,3,66.0,17012.87908162936,13.70167804167812,74.57075793184534,38.85400022116615,0.0,0.0,1.0,1.0,-14.217274019168723,,,0.0,,,,,,66.0
nonsemantic,200,MCTS,4,50.0,25772.412255805008,21.11125856280421,112.88899730110681,54.34288088037631,0.0,0.0,1.0,1.0,-16.97154004940326,,,0.0,,,,,,50.0
nonsemantic,200,MCTS,5,55.0,24061.357834888124,19.668538475671713,105.30184260675983,52.17464619235743,0.0,0.0,1.0,1.0,-16.392182013694253,,,0.0,,,,,,55.0
nonsemantic,200,MCTS,6,47.0,26409.785463400523,21.489666762693087,115.67464305772042,74.27681271333279,0.0,0.0,1.0,1.0,-14.110330943784177,,,0.0,,,,,,47.0
nonsemantic,200,MCTS,7,62.0,19111.353177092817,15.340722173102277,83.78317884678006,51.732622968653295,0.0,0.0,1.0,1.0,-15.408795110209306,,,0.0,,,,,,62.0
nonsemantic,200,MCTS,8,54.0,24130.462185137796,19.734487548424593,105.91022046955199,52.39854544506966,0.0,0.0,1.0,1.0,-17.105570324579187,,,0.0,,,,,,54.0
nonsemantic,200,MCTS,9,54.0,17720.720329987893,13.980583865302117,77.8320801173539,64.54707476367297,0.0,0.0,1.0,1.0,-16.405295483211848,,,0.0,,,,,,54.0
nonsemantic,300,Stochastic,0,89.0,12970.240987500682,7.9616169739974,57.10336445314617,286.52779168825526,0.0,0.0,1.0,1.0,-13.101597942068771,,,0.0,,,,,,89.0
nonsemantic,300,Stochastic,1,66.0,16364.2834687274,11.144807500938839,71.7358739040538,253.87544595345477,0.0,0.0,1.0,1.0,-14.540678305260313,,,0.0,,,,,,66.0
nonsemantic,300,Stochastic,2,62.0,16482.28135363339,11.29306218058254,72.6092228113387,248.86825821138143,0.0,0.0,1.0,1.0,-13.434031635961084,,,0.0,,,,,,62.0
nonsemantic,300,Stochastic,3,59.0,18627.001583045847,13.189217751233567,82.2162454324973,251.14817702299837,0.0,0.0,1.0,1.0,-13.235255172364047,,,0.0,,,,,,59.0
nonsemantic,300,Stochastic,4,46.0,22240.877710805933,16.065592566597232,97.89284171665614,291.8242259553866,0.0,0.0,1.0,1.0,-14.652131905831462,,,0.0,,,,,,46.0
nonsemantic,300,Stochastic,5,85.0,14821.94141479214,9.35659041467029,64.88778748958224,318.23407146441025,0.0,0.0,1.0,1.0,-13.211216363270493,,,0.0,,,,,,85.0
nonsemantic,300,Stochastic,6,75.0,17223.79103481031,11.785519122814188,75.68597697106043,266.8794367053459,0.0,0.0,1.0,1.0,-11.945964968802363,,,0.0,,,,,,75.0
nonsemantic,300,Stochastic,7,64.0,17094.674462524843,11.51842107814232,75.5162949845286,298.2383895638322,0.0,0.0,1.0,1.0,-11.818280050782565,,,0.0,,,,,,64.0
nonsemantic,300,Stochastic,8,63.0,17049.63140725919,11.434621890547344,74.83176573465228,301.5020373727314,0.0,0.0,1.0,1.0,-13.486886979608478,,,0.0,,,,,,63.0
nonsemantic,300,Stochastic,9,56.0,25978.002554504114,19.22470943726865,113.60350324901367,299.2850698431258,0.0,0.0,1.0,1.0,-15.252670686938176,,,0.0,,,,,,56.0
nonsemantic,300,LinUCB,0,55.0,21708.469309741053,16.822223191368487,95.88783463011116,137.5625899573841,0.0,0.0,1.0,1.0,-13.754230213848333,,,0.0,,,,,,55.0
nonsemantic,300,LinUCB,1,63.0,18367.638327940836,13.836190004180633,81.03789079525308,145.41548194359655,0.0,0.0,1.0,1.0,-11.92010039797432,,,0.0,,,,,,63.0
nonsemantic,300,LinUCB,2,69.0,16157.625896849268,12.107327843484311,71.25265720035532,126.76859854075609,0.0,0.0,1.0,1.0,-14.792474317521005,,,0.0,,,,,,69.0
nonsemantic,300,LinUCB,3,62.0,21958.019019501844,17.012791387327653,96.5704684577125,154.44376174839186,0.0,0.0,1.0,1.0,-16.03282915875893,,,0.0,,,,,,62.0
nonsemantic,300,LinUCB,4,64.0,21293.205223947352,16.273676032026337,93.87410445284748,169.97246935180164,0.0,0.0,1.0,1.0,-13.233694718197919,,,0.0,,,,,,64.0
nonsemantic,300,LinUCB,5,60.0,17892.958362094836,13.145206961218642,79.12508313861994,178.98882175211233,0.0,0.0,1.0,1.0,-14.829866739482233,,,0.0,,,,,,60.0
nonsemantic,300,LinUCB,6,87.0,13844.3481202222,10.004676383217754,61.20915059484628,133.33234357625685,0.0,0.0,1.0,1.0,-12.204795819753967,,,0.0,,,,,,87.0
nonsemantic,300,LinUCB,7,57.0,18858.614868666507,14.17718457302072,83.79817899743296,172.27010164179256,0.0,0.0,1.0,1.0,-14.620122348714004,,,0.0,,,,,,57.0
nonsemantic,300,LinUCB,8,63.0,20224.30474919894,15.53450122319562,89.20064863124797,140.62834081137726,0.0,0.0,1.0,1.0,-14.657244968787468,,,0.0,,,,,,63.0
nonsemantic,300,LinUCB,9,85.0,15386.339429319256,11.166725692555044,67.86736882102268,162.71729161143793,0.0,0.0,1.0,1.0,-14.372160801894873,,,0.0,,,,,,85.0
nonsemantic,300,SA,0,77.0,14160.011780515319,9.495107146489438,62.56075608499843,212.6598578647561,0.0,0.0,1.0,1.0,-14.140866431063248,,,0.0,,,,,,77.0
nonsemantic,300,SA,1,73.0,18354.589851682584,13.26518508014939,80.93718191601101,202.11296724264008,0.0,0.0,1.0,1.0,-14.800355250739853,,,0.0,,,,,,73.0
nonsemantic,300,SA,2,70.0,19217.33666368676,13.832248324188102,84.84392694734835,234.02153906625645,0.0,0.0,1.0,1.0,-15.153716674612173,,,0.0,,,,,,70.0
nonsemantic,300,SA,3,71.0,16173.75241154329,11.190291048032082,71.27405797148917,224.138124686617,0.0,0.0,1.0,1.0,-14.789376939672898,,,0.0,,,,,,71.0
nonsemantic,300,SA,4,83.0,14111.955001966546,9.307174405283352,62.28559719356266,234.69276154581127,0.0,0.0,1.0,1.0,-12.324755973406782,,,0.0,,,,,,83.0
nonsemantic,300,SA,5,53.0,17554.474561548315,12.547370771827651,77.2096304273453,209.39489514318447,0.0,0.0,1.0,1.0,-14.902317548290739,,,0.0,,,,,,53.0
