mode,area,policy,repeat,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_fixed_count,mode_fixed_neural_encoder_decoder_count,mode_neural_encoder_decoder_count,mode_raw_count
semantic,200,Greedy,8,189.0,2593.9626087223796,1.525743100949257,11.841238293319682,23.851563967974883,187.0,0.0,0.31276564229459686,0.113646384479718,-9.980345594265065,0.0,0.0,187.0,2.0
semantic,200,Greedy,9,147.0,3123.7173060025234,1.9460652602476374,14.143447455326568,24.985221224095447,145.0,0.0,0.31486567088957085,0.11635487528344653,-11.3701629365626,0.0,0.0,145.0,2.0
semantic,200,MCTS,0,153.0,5159.132464487996,3.1432898995309273,23.156533482850566,73.59269244876437,137.0,52.0,0.37805182537953946,0.1978485838779962,-14.352188066951095,0.0,0.0,137.0,16.0
semantic,200,MCTS,1,151.0,4974.514084025576,2.9318294146480817,22.221974231914032,78.41990689279464,131.0,51.0,0.39741348364103585,0.22282008830022118,-12.450610325280973,0.0,0.0,131.0,20.0
semantic,200,MCTS,2,176.0,3098.6721043756133,1.282720425144051,14.334755726477296,76.48091223631303,146.0,53.0,0.4238106202442003,0.2568655303030295,-10.55499605564947,0.0,0.0,146.0,30.0
semantic,200,MCTS,3,178.0,3435.3320875908175,1.6259327983370937,15.485566455541734,73.17606306764725,161.0,64.0,0.3717522600907977,0.18972378277153587,-10.744627065706764,0.0,0.0,161.0,17.0
semantic,200,MCTS,4,152.0,5051.596732142389,3.059438103268589,22.851885855921303,74.86887695585511,141.0,54.0,0.3556815227099883,0.168996710526316,-14.090377883596386,0.0,0.0,141.0,11.0
semantic,200,MCTS,5,132.0,6539.187258889261,4.371391933475595,28.98526885094092,71.87389407977767,120.0,42.0,0.3685595838292598,0.18560606060606083,-13.107917641540134,0.0,0.0,120.0,12.0
semantic,200,MCTS,6,173.0,4485.320495680797,2.6863450839597607,20.104358749022325,61.38286307838734,159.0,54.0,0.3616246890851886,0.17666184971098314,-12.872323419710998,0.0,0.0,159.0,14.0
semantic,200,MCTS,7,145.0,4130.89230635128,2.3282621538235047,18.6705654843985,66.70981055322012,135.0,53.0,0.35331791861134554,0.1659482758620693,-13.299754801551561,0.0,0.0,135.0,10.0
semantic,200,MCTS,8,150.0,5420.287934840925,3.471226390436374,24.353089451890096,68.39209861327338,129.0,50.0,0.40265736630248017,0.22958333333333353,-11.910245436553346,0.0,0.0,129.0,21.0
semantic,200,MCTS,9,134.0,5101.200557929208,2.8983058742228125,22.746334267486745,86.44133687783243,124.0,34.0,0.35725020324112733,0.1710199004975129,-14.403461685371706,0.0,0.0,124.0,10.0
semantic,300,Stochastic,0,66.0,15832.840654101037,10.694046520496519,69.84548371574206,263.2484267385663,20.0,10.0,0.7895198612764198,0.7285353535353535,-14.661093342291156,0.0,0.0,20.0,46.0
semantic,300,Stochastic,1,95.0,10819.461203724006,6.444812698332055,48.179353145216126,240.5038905566966,27.0,7.0,0.8025917856813581,0.7453947368421051,-11.313095812308884,0.0,0.0,27.0,68.0
semantic,300,Stochastic,2,93.0,12384.375548717378,7.408310854807809,54.44770804459263,309.2112195371077,29.0,17.0,0.7834091475715419,0.7206541218637991,-13.664327130384159,0.0,0.0,29.0,64.0
semantic,300,Stochastic,3,98.0,11835.425109337519,7.187963546430996,52.49589567450726,268.56040925399435,35.0,12.0,0.751934122218638,0.6800595238095235,-13.869299301337662,0.0,0.0,35.0,63.0
semantic,300,Stochastic,4,54.0,22176.88201030006,16.198205520007452,97.1921330962994,264.79722042218367,15.0,8.0,0.8070598728367185,0.7511574074074071,-15.721813812517164,0.0,0.0,15.0,39.0
semantic,300,Stochastic,5,56.0,18795.983586608323,13.03509993398404,82.34049072814373,304.05990375905895,14.0,8.0,0.8263538855530463,0.7760416666666666,-13.02496554592724,0.0,0.0,14.0,42.0
semantic,300,Stochastic,6,64.0,19057.65756026386,13.326906825084974,84.1323858085555,293.5211332731533,9.0,3.0,0.9023240606235887,0.8740234374999999,-14.22148840218513,0.0,0.0,9.0,55.0
